step,junction_id,active_vehicles,avg_speed_kmh,avg_waiting_time_s,max_waiting_time_s,queue_length_m,halting_vehicles,previous_queue_m,queue_delta,signal_phase,time_of_day_s,future_queue_5min_m,will_congest_5min,run_id
50.0,J2,27,39.69,0.0,0.0,0.0,0,7.5,-7.5,2,50.0,67.5,1,0
50.0,J3,27,39.69,0.0,0.0,0.0,0,0.0,0.0,2,50.0,45.0,1,0
50.0,J1,27,39.69,0.0,0.0,0.0,0,0.0,0.0,2,50.0,75.0,1,0
51.0,J2,28,40.09,0.07,1.0,0.0,0,0.0,0.0,2,51.0,67.5,1,0
51.0,J3,28,40.09,0.07,1.0,15.0,2,0.0,15.0,2,51.0,45.0,1,0
51.0,J1,28,40.09,0.07,1.0,0.0,0,0.0,0.0,2,51.0,82.5,1,0
52.0,J2,28,40.41,0.14,2.0,0.0,0,0.0,0.0,2,52.0,82.5,1,0
52.0,J3,28,40.41,0.14,2.0,15.0,2,0.0,15.0,2,52.0,52.5,1,0
52.0,J1,28,40.41,0.14,2.0,0.0,0,0.0,0.0,2,52.0,90.0,1,0
53.0,J2,28,40.05,0.21,3.0,0.0,0,0.0,0.0,2,53.0,75.0,1,0
53.0,J3,28,40.05,0.21,3.0,15.0,2,0.0,15.0,2,53.0,60.0,1,0
53.0,J1,28,40.05,0.21,3.0,0.0,0,0.0,0.0,2,53.0,97.5,1,0
54.0,J2,28,40.29,0.29,4.0,0.0,0,0.0,0.0,2,54.0,75.0,1,0
54.0,J3,28,40.29,0.29,4.0,15.0,2,0.0,15.0,2,54.0,67.5,1,0
54.0,J1,28,40.29,0.29,4.0,0.0,0,0.0,0.0,2,54.0,97.5,1,0
55.0,J2,28,39.93,0.36,5.0,0.0,0,0.0,0.0,2,55.0,75.0,1,0
55.0,J3,28,39.93,0.36,5.0,15.0,2,0.0,15.0,2,55.0,67.5,1,0
55.0,J1,28,39.93,0.36,5.0,0.0,0,0.0,0.0,2,55.0,97.5,1,0
56.0,J2,28,39.6,0.43,6.0,0.0,0,0.0,0.0,2,56.0,75.0,1,0
56.0,J3,28,39.6,0.43,6.0,15.0,2,15.0,0.0,2,56.0,67.5,1,0
56.0,J1,28,39.6,0.43,6.0,0.0,0,0.0,0.0,2,56.0,97.5,1,0
57.0,J2,28,39.14,0.5,7.0,0.0,0,0.0,0.0,2,57.0,75.0,1,0
57.0,J3,28,39.14,0.5,7.0,15.0,2,15.0,0.0,2,57.0,67.5,1,0
57.0,J1,28,39.14,0.5,7.0,0.0,0,0.0,0.0,2,57.0,105.0,1,0
58.0,J2,28,38.52,0.57,8.0,0.0,0,0.0,0.0,2,58.0,82.5,1,0
58.0,J3,28,38.52,0.57,8.0,15.0,2,15.0,0.0,2,58.0,67.5,1,0
58.0,J1,28,38.52,0.57,8.0,0.0,0,0.0,0.0,2,58.0,105.0,1,0
59.0,J2,28,38.74,0.64,9.0,0.0,0,0.0,0.0,2,59.0,82.5,1,0
59.0,J3,28,38.74,0.64,9.0,15.0,2,15.0,0.0,2,59.0,67.5,1,0
59.0,J1,28,38.74,0.64,9.0,0.0,0,0.0,0.0,2,59.0,105.0,1,0
60.0,J2,28,38.13,0.71,10.0,0.0,0,0.0,0.0,2,60.0,82.5,1,0
60.0,J3,28,38.13,0.71,10.0,15.0,2,15.0,0.0,2,60.0,75.0,1,0
60.0,J1,28,38.13,0.71,10.0,0.0,0,0.0,0.0,2,60.0,105.0,1,0
61.0,J2,28,37.39,0.82,11.0,0.0,0,0.0,0.0,2,61.0,37.5,1,0
61.0,J3,28,37.39,0.82,11.0,15.0,2,15.0,0.0,2,61.0,52.5,1,0
61.0,J1,28,37.39,0.82,11.0,7.5,1,0.0,7.5,2,61.0,60.0,1,0
62.0,J2,28,37.79,0.93,12.0,0.0,0,0.0,0.0,2,62.0,15.0,0,0
62.0,J3,28,37.79,0.93,12.0,15.0,2,15.0,0.0,2,62.0,15.0,0,0
62.0,J1,28,37.79,0.93,12.0,7.5,1,0.0,7.5,2,62.0,30.0,0,0
63.0,J2,28,37.37,1.04,13.0,0.0,0,0.0,0.0,2,63.0,7.5,0,0
63.0,J3,28,37.37,1.04,13.0,15.0,2,15.0,0.0,2,63.0,0.0,0,0
63.0,J1,28,37.37,1.04,13.0,7.5,1,0.0,7.5,2,63.0,7.5,0,0
64.0,J2,28,37.47,1.18,14.0,0.0,0,0.0,0.0,2,64.0,0.0,0,0
64.0,J3,28,37.47,1.18,14.0,22.5,3,15.0,7.5,2,64.0,0.0,0,0
64.0,J1,28,37.47,1.18,14.0,7.5,1,0.0,7.5,2,64.0,0.0,0,0
65.0,J2,28,37.24,1.32,15.0,0.0,0,0.0,0.0,2,65.0,0.0,0,0
65.0,J3,28,37.24,1.32,15.0,22.5,3,15.0,7.5,2,65.0,0.0,0,0
65.0,J1,28,37.24,1.32,15.0,7.5,1,0.0,7.5,2,65.0,0.0,0,0
